MAJOR,COLLEGE,COURSE 4-DIGIT CODES
Family & Consumer Science Education (7-12),EHS,"CYAF, EDPS, TEAC "
Family Science,EHS, CYAF 
Film and New Media (Production),FPA, THEA 
Finance,CBA, FINA 
Fisheries & Wildlife,ANR, NRES
Food Science & Technology,ANR, FDST 
Food Technology for Companion Animals,ANR
Forensic Science,ANR, FORS
French (ASC),ASC, FREN
French (7-12),EHS," EDPS, TEAC "
Geography,ASC, GEOG
Geography and History (7-12),EHS," EDPS, TEAC "
Geology,ASC,GEOL
German (ASC),ASC, GERM
German (7-12),EHS," EDPS, TEAC "
Gerontology,PAC, GERO
Global Securities Studies Minor,ASC,GSST
Grassland Ecology and Management,ANR, RNGE
Great Plains Studies,ASC, GPSP
History,ASC, HIST 
History (7-12),EHS," EDPS, TEAC "
Horticulture,ANR,"AGRO, HORT, TLMT"
"Hospitality, Restaurant & Tourism Management (CASNR)",CASNR, HRTM
"Hospitality, Restaurant & Tourism Management (CEHS)",EHS, HRTM
Human Rights & Humanitarian Affairs Minor,ASC,HRHA
Humanities in Medicine Minor,ASC,HMED
Inclusive Early Childhood Education (Birth-Grade 3),EHS, CYAF 
Individualized Program of Study,ASC, NO COURSE TAB 
Industrial & Management Systems Engineering,ENG,IMSE
Insect Science,ANR, ENTO  
Interdisciplinary Studies  ,FPA,NO COURSE TAB
Interior Design,ARH, IDES 
International Business,CBA
International Studies,ASC,GLST
Japanese Minor,ASC,JAPN
Journalism,JMC, JOUR ,PER MIKE GOFF 5/3/2010]
English/Journalism & Mass Communication (7-12),EHS,"  EDPS, TEAC "
Judaic Studies Minor,ASC,JUDS
Landscape Architecture,ARH, LARC
Language Arts (7-12),EHS," EDPS, TEAC "
Latin American Studies,ASC,LAMS
Management,CBA," MNGT, MIST, ENTR"
Marketing,CBA, MRKT
Marketing/Cooperative Education (7-12),EHS," EDPS, TEAC "
Mathematics,ASC, MATH
Mathematics (7-12),EHS," EDPS, TEAC "
Mechanical Engineering,ENG,"MECH, METL"
Mechanized Systems Management,ANR, MSYM
Medieval and Renaissance Studies,ASC,
Merchandising,EHS, TXCD
Meteorology-Climatology,ASC, METR
Mild/Moderate Disabilities (7-12),EHS," EDPS, TEAC "
Mild/Moderate Disabilities and Deaf or Hard of Hearning (7-12),EHS," EDPS, TEAC "
Modern Languages & Literatures,ASC,"ARAB,CHIN,CZEC,FREN,GERM,JAPN,MODL,RUSS,SPAN"
Music,FPA,"MUSC,MUCP,MUOP,MUDC,MUCO,MUNM,MUSR",  ASK BRIAN
Music Education,FPA,"MUSC,MUCP,MUOP,MUDC,MUCO,MUNM,MUSR,MUED"
Music Education (Pre K-12),FPA,"MUSC,MUCP,MUOP,MUDC,MUCO,MUNM,MUSR,MUED"
Natural Resource & Environmental Economics,ANR," NREE, NRES "
Natural Science (7-12),EHS," EDPS, TEAC "
"Nutrition, Exercise & Health Sciences",EHS, NUTR 
Nutrition Science,EHS, NUTR 
Philosophy,ASC, PHIL
Physical Science (7-12),EHS," EDPS, TEAC "
Physics (7-12),EHS," EDPS, TEAC "
Physics,ASC," PHYS, ASTR"
Plant Biology (CASNR),CASNR,"AGRO, HORT, TLMT, PLPT"
Plant Biology (ASC),ASC,PLPT
Plant Protection Sciences,ANR,PLPT
Political Science,ASC, POLS 
Political Science and History (7-12),EHS," EDPS, TEAC "
PGA Golf Management,ANR, PGAM
Psychology,ASC, PSYC  
Reading and Writing (7-12),EHS," EDPS, TEAC "
Russian (ASC),ASC, RUSS
Russian (7-12),EHS," EDPS, TEAC "
Social Science (7-12),EHS," EDPS, TEAC "
Sociology,ASC, SOCI
Spanish (ASC),ASC, SPAN
Spanish (7-12),EHS," EDPS, TEAC "
Speech & English (7-12),EHS," EDPS, TEAC "
Speech-Language Pathology & Audiology (ASC),ASC, SLPA 
Statistics,CASNR,STAT
Statistics Minor (ASC),ASC,STAT
Textile and Apparel Design,EHS, TXCD
Textile Science,EHS, TXCD
"Textiles, Clothing & Design/Communications",EHS, TXCD
Theatre & English (7-12),EHS," EDPS, TEAC "
Theatre-Design & Technical Production,FPA, THEA
Theatre-Directing & Management,FPA,THEA
Theatre-Film & New Media,FPA,THEA
Theatre-Performance ,FPA,THEA
Turfgrass & Landscape Management,ANR,"AGRO, HORT, TLMT"
University Studies,ASC,USTD
Veterinary Science,ANR, VBMS
Veterinary Technology,ANR, VBMS 
Water Science,ANR,  WATS
Women's & Gender Studies,ASC, WMNS
